<<<<<<< HEAD
#;Name;Type 1;Type 2;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Generation;Legendary;Coordonnees
46;Paras;Bug;Grass;285;35;70;55;45;55;25;1;False;[7.480496673714816, 8.714285201572029]
47;Parasect;Bug;Grass;405;60;95;80;60;80;30;1;False;[9.53331535350097, 9.104891976022861]
48;Venonat;Bug;Poison;305;60;55;50;40;55;45;1;False;[31.706479319822375, 6.507066254871954]
49;Venomoth;Bug;Poison;450;70;65;60;90;75;90;1;False;[39.17918683127157, 5.910503647901174]
50;Diglett;Ground;;265;10;55;25;35;45;95;1;False;[14.051430403076637, 0.8257353137796741]
51;Dugtrio;Ground;;405;35;80;50;50;70;120;1;False;[33.38495420232057, 1.8654655872836912]
52;Meowth;Normal;;290;40;45;35;40;40;90;1;False;[8.007563868803835, 2.310769532929281]
53;Persian;Normal;;440;65;70;60;65;65;115;1;False;[4.465292662252089, 7.9957265163824935]
54;Psyduck;Water;;320;50;52;48;65;50;55;1;False;[6.881980210047192, 1.165813917357117]
55;Golduck;Water;;500;80;82;78;95;80;85;1;False;[13.60539110758323, 7.08963064410972]
56;Mankey;Fighting;;305;40;80;35;35;45;70;1;False;[7.512217781240826, 3.5644020071792317]
57;Primeape;Fighting;;455;65;105;60;60;70;95;1;False;[16.06478902549337, 9.095765770397758]
58;Growlithe;Fire;;350;55;70;45;70;50;60;1;False;[8.689396080049828, 8.472031711235887]
59;Arcanine;Fire;;555;90;110;80;100;80;95;1;False;[10.846856015618433, 0.4500478397054053]
60;Poliwag;Water;;300;40;50;40;40;40;90;1;False;[14.152178176417367, 4.173121973346358]
61;Poliwhirl;Water;;385;65;65;65;50;50;90;1;False;[13.17806126754256, 0.16701855231640472]
62;Poliwrath;Water;Fighting;510;90;95;95;70;90;70;1;False;[8.466679474373503, 1.6341283809330232]
63;Abra;Psychic;;310;25;20;15;105;55;90;1;False;[25.6237089762431, 0.5374595926338022]
64;Kadabra;Psychic;;400;40;35;30;120;70;105;1;False;[24.684430958705356, 1.7781908602464946]
65;Alakazam;Psychic;;500;55;50;45;135;95;120;1;False;[8.674186820173624, 6.186555786487258]
66;Machop;Fighting;;305;70;80;50;35;35;35;1;False;[20.475888165694904, 9.91080995809791]
67;Machoke;Fighting;;405;80;100;70;50;60;45;1;False;[20.49340030132818, 1.246037158688329]
68;Machamp;Fighting;;505;90;130;80;65;85;55;1;False;[33.54613592535061, 5.433269538648623]
69;Bellsprout;Grass;Poison;300;50;75;35;70;30;40;1;False;[12.583249845434906, 5.694870091585561]
70;Weepinbell;Grass;Poison;390;65;90;50;85;45;55;1;False;[34.129045801525855, 2.798387000335115]
71;Victreebel;Grass;Poison;490;80;105;65;100;70;70;1;False;[32.818808419755975, 5.206447446526607]
72;Tentacool;Water;Poison;335;40;40;35;50;100;70;1;False;[31.6368690105385, 2.38216302951054]
73;Tentacruel;Water;Poison;515;80;70;65;80;120;100;1;False;[16.988860874737192, 8.428377083635244]
74;Geodude;Rock;Ground;300;40;80;100;30;30;20;1;False;[5.763399129762443, 0.07827641743240799]
75;Graveler;Rock;Ground;390;55;95;115;45;45;35;1;False;[9.957655320791874, 1.7799449721465366]
76;Golem;Rock;Ground;495;80;120;130;55;65;45;1;False;[22.263898456901074, 8.325049930640706]
77;Ponyta;Fire;;410;50;85;55;65;65;90;1;False;[30.780980686031647, 1.4051806103711728]
78;Rapidash;Fire;;500;65;100;70;80;80;105;1;False;[38.736859673967075, 5.234939831016802]
79;Slowpoke;Water;Psychic;315;90;65;65;40;40;15;1;False;[17.313788005383163, 0.6975282746547329]
80;Slowbro;Water;Psychic;490;95;75;110;100;80;30;1;False;[10.259068781969232, 4.848847392864469]
81;Magnemite;Electric;Steel;325;25;35;70;95;55;45;1;False;[34.746299826644346, 4.493251371178143]
82;Magneton;Electric;Steel;465;50;60;95;120;70;70;1;False;[6.732950010472218, 0.7831075943573229]
83;Farfetch'd;Normal;Flying;352;52;65;55;58;62;60;1;False;[8.645924579578477, 1.5194197850333924]
84;Doduo;Normal;Flying;310;35;85;45;35;35;75;1;False;[27.732297979508363, 0.5870790861998576]
85;Dodrio;Normal;Flying;460;60;110;70;60;60;100;1;False;[4.432161651099369, 0.774702524487425]
86;Seel;Water;;325;65;45;55;45;70;45;1;False;[31.973897985652915, 5.484843962118474]
87;Dewgong;Water;Ice;475;90;70;80;70;95;70;1;False;[26.20387284272665, 4.228670179382249]
88;Grimer;Poison;;325;80;80;50;40;50;25;1;False;[10.08017272472356, 6.756426289467359]
89;Muk;Poison;;500;105;105;75;65;100;50;1;False;[20.508515836027303, 6.388824551466178]
90;Shellder;Water;;305;30;65;100;45;25;40;1;False;[11.356706526313891, 3.3576805009185904]
91;Cloyster;Water;Ice;525;50;95;180;85;45;70;1;False;[1.812707283842423, 2.751786088040824]
92;Gastly;Ghost;Poison;310;30;35;30;100;35;80;1;False;[35.38357326560688, 8.064073660981443]
93;Haunter;Ghost;Poison;405;45;50;45;115;55;95;1;False;[17.59110376364537, 9.276865319944427]
94;Gengar;Ghost;Poison;500;60;65;60;130;75;110;1;False;[0.32310231154787594, 5.969818987815961]
95;Onix;Rock;Ground;385;35;45;160;30;45;70;1;False;[25.186762385949816, 5.04620786244375]
96;Drowzee;Psychic;;328;60;48;45;43;90;42;1;False;[15.590391412223351, 9.040247459971383]
97;Hypno;Psychic;;483;85;73;70;73;115;67;1;False;[8.980789530059763, 5.977470012778239]
98;Krabby;Water;;325;30;105;90;25;25;50;1;False;[8.272675208279384, 7.6147106173838335]
99;Kingler;Water;;475;55;130;115;50;50;75;1;False;[26.917474360710855, 3.1630261658856593]
100;Voltorb;Electric;;330;40;30;50;55;55;100;1;False;[21.34454228242063, 0.2716765767561735]
101;Electrode;Electric;;480;60;50;70;80;80;140;1;False;[34.016191518908904, 7.921182306279575]
102;Exeggcute;Grass;Psychic;325;60;40;80;60;45;40;1;False;[30.361486724278755, 0.35811810421043533]
103;Exeggutor;Grass;Psychic;520;95;95;85;125;65;55;1;False;[25.483871225957067, 1.2928621825026199]
104;Cubone;Ground;;320;50;50;95;40;50;35;1;False;[29.40257925698465, 9.907045669444493]
105;Marowak;Ground;;425;60;80;110;50;80;45;1;False;[0.35984404110565027, 5.8619423404574365]
106;Hitmonlee;Fighting;;455;50;120;53;35;110;87;1;False;[5.226345484986132, 6.156254037942206]
107;Hitmonchan;Fighting;;455;50;105;79;35;110;76;1;False;[25.429567860061454, 9.196848609746311]
108;Lickitung;Normal;;385;90;55;75;60;75;30;1;False;[25.94738223729371, 6.844958759104486]
109;Koffing;Poison;;340;40;65;95;60;45;35;1;False;[1.138031517478293, 4.788449000779057]
110;Weezing;Poison;;490;65;90;120;85;70;60;1;False;[37.822736590251374, 5.280428604189095]
111;Rhyhorn;Ground;Rock;345;80;85;95;30;30;25;1;False;[2.2599681440582975, 5.0165152097739165]
112;Rhydon;Ground;Rock;485;105;130;120;45;45;40;1;False;[24.950080396068092, 9.136818645232013]
113;Chansey;Normal;;450;250;5;5;35;105;50;1;False;[11.363339748090372, 1.3073823629664683]
114;Tangela;Grass;;435;65;55;115;100;40;60;1;False;[22.763216136880718, 0.5816475753381745]
115;Kangaskhan;Normal;;490;105;95;80;40;80;90;1;False;[26.336047733221875, 1.4597120085232262]
116;Horsea;Water;;295;30;40;70;70;25;60;1;False;[6.4584154327647525, 8.55877201171029]
117;Seadra;Water;;440;55;65;95;95;45;85;1;False;[10.757671739452363, 6.935780593360695]
118;Goldeen;Water;;320;45;67;60;35;50;63;1;False;[32.58347161448271, 8.98601337229347]
119;Seaking;Water;;450;80;92;65;65;80;68;1;False;[0.6866283139286722, 0.891467016709403]
120;Staryu;Water;;340;30;45;55;70;55;85;1;False;[23.16598957832367, 5.391677590978713]
121;Starmie;Water;Psychic;520;60;75;85;100;85;115;1;False;[32.024340524779745, 1.9592907458932163]
122;Mr. Mime;Psychic;Fairy;460;40;45;65;100;120;90;1;False;[31.343599031300467, 2.0451965379226236]
123;Scyther;Bug;Flying;500;70;110;80;55;80;105;1;False;[0.37643904084805335, 1.7229072567102366]
124;Jynx;Ice;Psychic;455;65;50;35;115;95;95;1;False;[39.959151788451024, 2.141117145583703]
125;Electabuzz;Electric;;490;65;83;57;95;85;105;1;False;[25.43694616602974, 8.66287871104866]
126;Magmar;Fire;;495;65;95;57;100;85;93;1;False;[4.787685079099844, 7.2382842411877935]
127;Pinsir;Bug;;500;65;125;100;55;70;85;1;False;[35.90711800752034, 6.241716153641189]
128;Tauros;Normal;;490;75;100;95;40;70;110;1;False;[18.538550585681225, 9.881911887906282]
129;Magikarp;Water;;200;20;10;55;15;20;80;1;False;[3.6498555093793517, 5.948141157124798]
130;Gyarados;Water;Flying;540;95;125;79;60;100;81;1;False;[27.76021400873266, 1.27309415151164]
131;Lapras;Water;Ice;535;130;85;80;85;95;60;1;False;[31.905301517456554, 7.881894067343965]
132;Ditto;Normal;;288;48;48;48;48;48;48;1;False;[6.662468619644337, 5.64268167282325]
133;Eevee;Normal;;325;55;55;50;45;65;55;1;False;[37.65011164061983, 7.853948221593856]
134;Vaporeon;Water;;525;130;65;60;110;95;65;1;False;[2.698446413975457, 0.04812852150032021]
135;Jolteon;Electric;;525;65;65;60;110;95;130;1;False;[4.15453694627411, 5.819244697610185]
136;Flareon;Fire;;525;65;130;60;95;110;65;1;False;[6.184260034193216, 8.55360093868772]
137;Porygon;Normal;;395;65;60;70;85;75;40;1;False;[6.053868298494498, 5.999575908015645]
138;Omanyte;Rock;Water;355;35;40;100;90;55;35;1;False;[34.59977746697469, 9.457286153521828]
139;Omastar;Rock;Water;495;70;60;125;115;70;55;1;False;[8.694706051455112, 5.278580573388246]
140;Kabuto;Rock;Water;355;30;80;90;55;45;55;1;False;[30.88886156012109, 8.522410369327613]
141;Kabutops;Rock;Water;495;60;115;105;65;70;80;1;False;[19.868549768587943, 8.155710621931844]
142;Aerodactyl;Rock;Flying;515;80;105;65;60;75;130;1;False;[16.221013085792034, 1.5189970381060958]
143;Snorlax;Normal;;540;160;110;65;65;110;30;1;False;[4.3031467064433615, 6.745773774780339]
144;Articuno;Ice;Flying;580;90;85;100;95;125;85;1;True;[6.0907670355848875, 0.1301166889211791]
145;Zapdos;Electric;Flying;580;90;90;85;125;90;100;1;True;[7.263334513550195, 4.207299807446344]
146;Moltres;Fire;Flying;580;90;100;90;125;85;90;1;True;[35.426160157144196, 7.509966362336878]
147;Dratini;Dragon;;300;41;64;45;50;50;50;1;False;[14.082682553226938, 8.329930683582488]
148;Dragonair;Dragon;;420;61;84;65;70;70;70;1;False;[0.06328498514706293, 1.6189169866591158]
149;Dragonite;Dragon;Flying;600;91;134;95;100;100;80;1;False;[6.974622282327214, 2.312707264725665]
150;Mewtwo;Psychic;;680;106;110;90;154;90;130;1;True;[23.864233784028617, 5.207541521755]
151;Mew;Psychic;;600;100;100;100;100;100;100;1;False;
=======
#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False
53,Persian,Normal,,440,65,70,60,65,65,115,1,False
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False
55,Golduck,Water,,500,80,82,78,95,80,85,1,False
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False
60,Poliwag,Water,,300,40,50,40,40,40,90,1,False
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
86,Seel,Water,,325,65,45,55,45,70,45,1,False
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False
89,Muk,Poison,,500,105,105,75,65,100,50,1,False
90,Shellder,Water,,305,30,65,100,45,25,40,1,False
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False
98,Krabby,Water,,325,30,105,90,25,25,50,1,False
99,Kingler,Water,,475,55,130,115,50,50,75,1,False
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False
109,Koffing,Poison,,340,40,65,95,60,45,35,1,False
110,Weezing,Poison,,490,65,90,120,85,70,60,1,False
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
113,Chansey,Normal,,450,250,5,5,35,105,50,1,False
114,Tangela,Grass,,435,65,55,115,100,40,60,1,False
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False
116,Horsea,Water,,295,30,40,70,70,25,60,1,False
117,Seadra,Water,,440,55,65,95,95,45,85,1,False
118,Goldeen,Water,,320,45,67,60,35,50,63,1,False
119,Seaking,Water,,450,80,92,65,65,80,68,1,False
120,Staryu,Water,,340,30,45,55,70,55,85,1,False
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
126,Magmar,Fire,,495,65,95,57,100,85,93,1,False
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False
>>>>>>> 075a61ebc1e552290273f46958a6e9db661da354
